"wmd_id_num","wmd_id","area_km2","n_eaus"
1,"Arrowwood",12637.1176739,40
2,"Audubon",13116.9944897,39
3,"Benton Lake",44269.9195261,129
4,"Bowdoin",40405.9523908,119
5,"Crosby Lostwood",17709.5946275,50
6,"Detroit Lakes",12809.7210466,37
7,"Devils Lake",26303.0328163,76
8,"Fergus Falls",5943.11886294,17
9,"Huron",18215.4563826,54
10,"Iowa",13659.709077,32
11,"J. Clark Salyer",16895.3014452,46
12,"Kulm",11134.3632315,31
13,"Lake Andes",20780.8523136,61
14,"Litchfield",11278.6584305,30
15,"Long Lake",12059.585018,39
16,"Madison",15286.1446409,46
17,"Morris",12172.4721418,36
18,"Northeast Montana",14250.3145563,43
19,"Roseau",11197.1521178,35
20,"Sand Lake",23214.8767249,70
21,"Tewaukon",8226.02163651,22
22,"Valley City",14441.0645055,40
23,"Waubay",14206.8289554,40
24,"Windom",25811.1608365,78
